t,m,c,o,d,value
1894,Sn,concentrate,EU27,CHN,0.0003794512648264
1894,Sn,concentrate,EU27,EU27,0.1265421288248722
1894,Sn,concentrate,EU27,ROW,0.8730784199103012
1894,Sn,concentrate,ROW,CHN,0.0003794512648264
1894,Sn,concentrate,ROW,EU27,0.1265421288248722
1894,Sn,concentrate,ROW,ROW,0.8730784199103013
1894,Sn,refined_metal,CHN,CHN,0.0129616301062314
1894,Sn,refined_metal,CHN,EU27,0.3020388662767663
1894,Sn,refined_metal,CHN,ROW,0.6849995036170022
1894,Sn,refined_metal,EU27,CHN,0.0129616301062314
1894,Sn,refined_metal,EU27,EU27,0.3020388662767664
1894,Sn,refined_metal,EU27,ROW,0.6849995036170022
1894,Sn,refined_metal,ROW,CHN,0.0129616301062314
1894,Sn,refined_metal,ROW,EU27,0.3020388662767663
1894,Sn,refined_metal,ROW,ROW,0.6849995036170022
1894,Sn,scrap,CHN,CHN,0.0079470202985249
1894,Sn,scrap,CHN,EU27,0.6392935978287502
1894,Sn,scrap,CHN,ROW,0.3527593818727248
1894,Sn,scrap,EU27,CHN,0.0079470202985249
1894,Sn,scrap,EU27,EU27,0.6392935978287502
1894,Sn,scrap,EU27,ROW,0.3527593818727249
1894,Sn,scrap,ROW,CHN,0.0079470202985249
1894,Sn,scrap,ROW,EU27,0.6392935978287503
1894,Sn,scrap,ROW,ROW,0.3527593818727249
1894,Zn,concentrate,CHN,CHN,0.0019449369543214
1894,Zn,concentrate,CHN,EU27,0.313597368440549
1894,Zn,concentrate,CHN,ROW,0.6844576946051294
1894,Zn,concentrate,EU27,CHN,0.0019449369543214
1894,Zn,concentrate,EU27,EU27,0.3135973684405491
1894,Zn,concentrate,EU27,ROW,0.6844576946051295
1894,Zn,concentrate,ROW,CHN,0.0019449369543214
1894,Zn,concentrate,ROW,EU27,0.313597368440549
1894,Zn,concentrate,ROW,ROW,0.6844576946051295
1894,Zn,refined_metal,CHN,CHN,0.0015980478255724
1894,Zn,refined_metal,CHN,EU27,0.2889118652654983
1894,Zn,refined_metal,CHN,ROW,0.7094900869089292
1894,Zn,refined_metal,EU27,CHN,0.0015980478255724
1894,Zn,refined_metal,EU27,EU27,0.2889118652654983
1894,Zn,refined_metal,EU27,ROW,0.7094900869089293
1894,Zn,refined_metal,ROW,CHN,0.0015980478255724
1894,Zn,refined_metal,ROW,EU27,0.2889118652654983
1894,Zn,refined_metal,ROW,ROW,0.7094900869089292
1894,Zn,scrap,CHN,CHN,0.1840331778212685
1894,Zn,scrap,CHN,EU27,0.5656378354528668
1894,Zn,scrap,CHN,ROW,0.2503289867258645
1894,Zn,scrap,EU27,CHN,0.1840331778212685
1894,Zn,scrap,EU27,EU27,0.5656378354528668
1894,Zn,scrap,EU27,ROW,0.2503289867258645
1894,Zn,scrap,ROW,CHN,0.1840331778212685
1894,Zn,scrap,ROW,EU27,0.5656378354528668
1894,Zn,scrap,ROW,ROW,0.2503289867258645
1895,Ni,concentrate,CHN,CHN,0.0001016227990357
1895,Ni,concentrate,CHN,EU27,0.0040127325551739
1895,Ni,concentrate,CHN,ROW,0.9958856446457902
1895,Ni,concentrate,EU27,CHN,0.0001016227990357
1895,Ni,concentrate,EU27,EU27,0.0040127325551739
1895,Ni,concentrate,EU27,ROW,0.9958856446457902
1895,Ni,concentrate,ROW,CHN,0.0001016227990357
1895,Ni,concentrate,ROW,EU27,0.0040127325551739
1895,Ni,concentrate,ROW,ROW,0.9958856446457904
1895,Ni,refined_metal,CHN,CHN,0.0008460339668365
1895,Ni,refined_metal,CHN,EU27,0.3434938369055783
1895,Ni,refined_metal,CHN,ROW,0.6556601291275852
1895,Ni,refined_metal,EU27,CHN,0.0008460339668365
1895,Ni,refined_metal,EU27,EU27,0.3434938369055783
1895,Ni,refined_metal,EU27,ROW,0.6556601291275853
1895,Ni,refined_metal,ROW,CHN,0.0008460339668365
1895,Ni,refined_metal,ROW,EU27,0.3434938369055783
1895,Ni,refined_metal,ROW,ROW,0.6556601291275852
1895,Ni,scrap,CHN,CHN,0.004844028159137
1895,Ni,scrap,CHN,EU27,0.2911669438888353
1895,Ni,scrap,CHN,ROW,0.7039890279520276
1895,Ni,scrap,EU27,CHN,0.004844028159137
1895,Ni,scrap,EU27,EU27,0.2911669438888353
1895,Ni,scrap,EU27,ROW,0.7039890279520276
1895,Ni,scrap,ROW,CHN,0.004844028159137
1895,Ni,scrap,ROW,EU27,0.2911669438888353
1895,Ni,scrap,ROW,ROW,0.7039890279520276
1895,Sn,concentrate,CHN,CHN,0.0003794512648264
1895,Sn,concentrate,CHN,EU27,0.1265421288248722
1895,Sn,concentrate,CHN,ROW,0.8730784199103012
1895,Sn,concentrate,EU27,CHN,0.0003794512648264
1895,Sn,concentrate,EU27,EU27,0.1265421288248722
1895,Sn,concentrate,EU27,ROW,0.8730784199103012
1895,Sn,concentrate,ROW,CHN,0.0003794512648264
1895,Sn,concentrate,ROW,EU27,0.1265421288248722
1895,Sn,concentrate,ROW,ROW,0.8730784199103013
1895,Sn,refined_metal,CHN,CHN,0.0129616301062314
1895,Sn,refined_metal,CHN,EU27,0.3020388662767663
1895,Sn,refined_metal,CHN,ROW,0.6849995036170022
1895,Sn,refined_metal,EU27,CHN,0.0129616301062314
1895,Sn,refined_metal,EU27,EU27,0.3020388662767664
1895,Sn,refined_metal,EU27,ROW,0.6849995036170022
1895,Sn,refined_metal,ROW,CHN,0.0129616301062314
1895,Sn,refined_metal,ROW,EU27,0.3020388662767663
1895,Sn,refined_metal,ROW,ROW,0.6849995036170022
1895,Sn,scrap,CHN,CHN,0.0079470202985249
1895,Sn,scrap,CHN,EU27,0.6392935978287502
1895,Sn,scrap,CHN,ROW,0.3527593818727248
1895,Sn,scrap,EU27,CHN,0.0079470202985249
1895,Sn,scrap,EU27,EU27,0.6392935978287502
1895,Sn,scrap,EU27,ROW,0.3527593818727249
1895,Sn,scrap,ROW,CHN,0.0079470202985249
1895,Sn,scrap,ROW,EU27,0.6392935978287503
1895,Sn,scrap,ROW,ROW,0.3527593818727249
1895,Zn,concentrate,CHN,CHN,0.0019449369543214
1895,Zn,concentrate,CHN,EU27,0.313597368440549
1895,Zn,concentrate,CHN,ROW,0.6844576946051294
1895,Zn,concentrate,EU27,CHN,0.0019449369543214
1895,Zn,concentrate,EU27,EU27,0.3135973684405491
1895,Zn,concentrate,EU27,ROW,0.6844576946051295
1895,Zn,concentrate,ROW,CHN,0.0019449369543214
1895,Zn,concentrate,ROW,EU27,0.313597368440549
1895,Zn,concentrate,ROW,ROW,0.6844576946051295
1895,Zn,refined_metal,CHN,CHN,0.0015980478255724
1895,Zn,refined_metal,CHN,EU27,0.2889118652654983
1895,Zn,refined_metal,CHN,ROW,0.7094900869089292
1895,Zn,refined_metal,EU27,CHN,0.0015980478255724
1895,Zn,refined_metal,EU27,EU27,0.2889118652654983
1895,Zn,refined_metal,EU27,ROW,0.7094900869089293
1895,Zn,refined_metal,ROW,CHN,0.0015980478255724
1895,Zn,refined_metal,ROW,EU27,0.2889118652654983
1895,Zn,refined_metal,ROW,ROW,0.7094900869089292
1895,Zn,scrap,CHN,CHN,0.1840331778212685
1895,Zn,scrap,CHN,EU27,0.5656378354528668
1895,Zn,scrap,CHN,ROW,0.2503289867258645
1895,Zn,scrap,EU27,CHN,0.1840331778212685
1895,Zn,scrap,EU27,EU27,0.5656378354528668
1895,Zn,scrap,EU27,ROW,0.2503289867258645
1895,Zn,scrap,ROW,CHN,0.1840331778212685
1895,Zn,scrap,ROW,EU27,0.5656378354528668
1895,Zn,scrap,ROW,ROW,0.2503289867258645
1896,Ni,concentrate,CHN,CHN,0.0001016227990357
1896,Ni,concentrate,CHN,EU27,0.0040127325551739
1896,Ni,concentrate,CHN,ROW,0.9958856446457902
1896,Ni,concentrate,EU27,CHN,0.0001016227990357
1896,Ni,concentrate,EU27,EU27,0.0040127325551739
1896,Ni,concentrate,EU27,ROW,0.9958856446457902
1896,Ni,concentrate,ROW,CHN,0.0001016227990357
1896,Ni,concentrate,ROW,EU27,0.0040127325551739
1896,Ni,concentrate,ROW,ROW,0.9958856446457904
1896,Ni,refined_metal,CHN,CHN,0.0008460339668365
1896,Ni,refined_metal,CHN,EU27,0.3434938369055783
1896,Ni,refined_metal,CHN,ROW,0.6556601291275852
1896,Ni,refined_metal,EU27,CHN,0.0008460339668365
1896,Ni,refined_metal,EU27,EU27,0.3434938369055783
1896,Ni,refined_metal,EU27,ROW,0.6556601291275853
1896,Ni,refined_metal,ROW,CHN,0.0008460339668365
1896,Ni,refined_metal,ROW,EU27,0.3434938369055783
1896,Ni,refined_metal,ROW,ROW,0.6556601291275852
1896,Ni,scrap,CHN,CHN,0.004844028159137
1896,Ni,scrap,CHN,EU27,0.2911669438888353
1896,Ni,scrap,CHN,ROW,0.7039890279520276
1896,Ni,scrap,EU27,CHN,0.004844028159137
1896,Ni,scrap,EU27,EU27,0.2911669438888353
1896,Ni,scrap,EU27,ROW,0.7039890279520276
1896,Ni,scrap,ROW,CHN,0.004844028159137
1896,Ni,scrap,ROW,EU27,0.2911669438888353
1896,Ni,scrap,ROW,ROW,0.7039890279520276
1896,Sn,concentrate,CHN,CHN,0.0003794512648264
1896,Sn,concentrate,CHN,EU27,0.1265421288248722
1896,Sn,concentrate,CHN,ROW,0.8730784199103012
1896,Sn,concentrate,EU27,CHN,0.0003794512648264
1896,Sn,concentrate,EU27,EU27,0.1265421288248722
1896,Sn,concentrate,EU27,ROW,0.8730784199103012
1896,Sn,concentrate,ROW,CHN,0.0003794512648264
1896,Sn,concentrate,ROW,EU27,0.1265421288248722
1896,Sn,concentrate,ROW,ROW,0.8730784199103013
1896,Sn,refined_metal,CHN,CHN,0.0129616301062314
1896,Sn,refined_metal,CHN,EU27,0.3020388662767663
1896,Sn,refined_metal,CHN,ROW,0.6849995036170022
1896,Sn,refined_metal,EU27,CHN,0.0129616301062314
1896,Sn,refined_metal,EU27,EU27,0.3020388662767664
1896,Sn,refined_metal,EU27,ROW,0.6849995036170022
1896,Sn,refined_metal,ROW,CHN,0.0129616301062314
1896,Sn,refined_metal,ROW,EU27,0.3020388662767663
1896,Sn,refined_metal,ROW,ROW,0.6849995036170022
1896,Sn,scrap,CHN,CHN,0.0079470202985249
1896,Sn,scrap,CHN,EU27,0.6392935978287502
1896,Sn,scrap,CHN,ROW,0.3527593818727248
1896,Sn,scrap,EU27,CHN,0.0079470202985249
1896,Sn,scrap,EU27,EU27,0.6392935978287502
1896,Sn,scrap,EU27,ROW,0.3527593818727249
1896,Sn,scrap,ROW,CHN,0.0079470202985249
1896,Sn,scrap,ROW,EU27,0.6392935978287503
1896,Sn,scrap,ROW,ROW,0.3527593818727249
1896,Zn,concentrate,CHN,CHN,0.0019449369543214
1896,Zn,concentrate,CHN,EU27,0.313597368440549
1896,Zn,concentrate,CHN,ROW,0.6844576946051294
1896,Zn,concentrate,EU27,CHN,0.0019449369543214
1896,Zn,concentrate,EU27,EU27,0.3135973684405491
1896,Zn,concentrate,EU27,ROW,0.6844576946051295
1896,Zn,concentrate,ROW,CHN,0.0019449369543214
1896,Zn,concentrate,ROW,EU27,0.313597368440549
1896,Zn,concentrate,ROW,ROW,0.6844576946051295
1896,Zn,refined_metal,CHN,CHN,0.0015980478255724
1896,Zn,refined_metal,CHN,EU27,0.2889118652654983
1896,Zn,refined_metal,CHN,ROW,0.7094900869089292
1896,Zn,refined_metal,EU27,CHN,0.0015980478255724
1896,Zn,refined_metal,EU27,EU27,0.2889118652654983
1896,Zn,refined_metal,EU27,ROW,0.7094900869089293
1896,Zn,refined_metal,ROW,CHN,0.0015980478255724
1896,Zn,refined_metal,ROW,EU27,0.2889118652654983
1896,Zn,refined_metal,ROW,ROW,0.7094900869089292
1896,Zn,scrap,CHN,CHN,0.1840331778212685
1896,Zn,scrap,CHN,EU27,0.5656378354528668
1896,Zn,scrap,CHN,ROW,0.2503289867258645
1896,Zn,scrap,EU27,CHN,0.1840331778212685
1896,Zn,scrap,EU27,EU27,0.5656378354528668
1896,Zn,scrap,EU27,ROW,0.2503289867258645
1896,Zn,scrap,ROW,CHN,0.1840331778212685
1896,Zn,scrap,ROW,EU27,0.5656378354528668
1896,Zn,scrap,ROW,ROW,0.2503289867258645
1897,Ni,concentrate,CHN,CHN,0.0001016227990357
1897,Ni,concentrate,CHN,EU27,0.0040127325551739
1897,Ni,concentrate,CHN,ROW,0.9958856446457902
1897,Ni,concentrate,EU27,CHN,0.0001016227990357
1897,Ni,concentrate,EU27,EU27,0.0040127325551739
1897,Ni,concentrate,EU27,ROW,0.9958856446457902
1897,Ni,concentrate,ROW,CHN,0.0001016227990357
1897,Ni,concentrate,ROW,EU27,0.0040127325551739
1897,Ni,concentrate,ROW,ROW,0.9958856446457904
1897,Ni,refined_metal,CHN,CHN,0.0008460339668365
1897,Ni,refined_metal,CHN,EU27,0.3434938369055783
1897,Ni,refined_metal,CHN,ROW,0.6556601291275852
1897,Ni,refined_metal,EU27,CHN,0.0008460339668365
1897,Ni,refined_metal,EU27,EU27,0.3434938369055783
1897,Ni,refined_metal,EU27,ROW,0.6556601291275853
1897,Ni,refined_metal,ROW,CHN,0.0008460339668365
1897,Ni,refined_metal,ROW,EU27,0.3434938369055783
1897,Ni,refined_metal,ROW,ROW,0.6556601291275852
1897,Ni,scrap,CHN,CHN,0.004844028159137
1897,Ni,scrap,CHN,EU27,0.2911669438888353
1897,Ni,scrap,CHN,ROW,0.7039890279520276
1897,Ni,scrap,EU27,CHN,0.004844028159137
1897,Ni,scrap,EU27,EU27,0.2911669438888353
1897,Ni,scrap,EU27,ROW,0.7039890279520276
1897,Ni,scrap,ROW,CHN,0.004844028159137
1897,Ni,scrap,ROW,EU27,0.2911669438888353
1897,Ni,scrap,ROW,ROW,0.7039890279520276
1897,Sn,concentrate,CHN,CHN,0.0003794512648264
1897,Sn,concentrate,CHN,EU27,0.1265421288248722
1897,Sn,concentrate,CHN,ROW,0.8730784199103012
1897,Sn,concentrate,EU27,CHN,0.0003794512648264
1897,Sn,concentrate,EU27,EU27,0.1265421288248722
1897,Sn,concentrate,EU27,ROW,0.8730784199103012
1897,Sn,concentrate,ROW,CHN,0.0003794512648264
1897,Sn,concentrate,ROW,EU27,0.1265421288248722
1897,Sn,concentrate,ROW,ROW,0.8730784199103013
1897,Sn,refined_metal,CHN,CHN,0.0129616301062314
1897,Sn,refined_metal,CHN,EU27,0.3020388662767663
1897,Sn,refined_metal,CHN,ROW,0.6849995036170022
1897,Sn,refined_metal,EU27,CHN,0.0129616301062314
1897,Sn,refined_metal,EU27,EU27,0.3020388662767664
1897,Sn,refined_metal,EU27,ROW,0.6849995036170022
1897,Sn,refined_metal,ROW,CHN,0.0129616301062314
1897,Sn,refined_metal,ROW,EU27,0.3020388662767663
1897,Sn,refined_metal,ROW,ROW,0.6849995036170022
1897,Sn,scrap,CHN,CHN,0.0079470202985249
1897,Sn,scrap,CHN,EU27,0.6392935978287502
1897,Sn,scrap,CHN,ROW,0.3527593818727248
1897,Sn,scrap,EU27,CHN,0.0079470202985249
1897,Sn,scrap,EU27,EU27,0.6392935978287502
1897,Sn,scrap,EU27,ROW,0.3527593818727249
1897,Sn,scrap,ROW,CHN,0.0079470202985249
1897,Sn,scrap,ROW,EU27,0.6392935978287503
1897,Sn,scrap,ROW,ROW,0.3527593818727249
1897,Zn,concentrate,CHN,CHN,0.0019449369543214
1897,Zn,concentrate,CHN,EU27,0.313597368440549
1897,Zn,concentrate,CHN,ROW,0.6844576946051294
1897,Zn,concentrate,EU27,CHN,0.0019449369543214
1897,Zn,concentrate,EU27,EU27,0.3135973684405491
1897,Zn,concentrate,EU27,ROW,0.6844576946051295
1897,Zn,concentrate,ROW,CHN,0.0019449369543214
1897,Zn,concentrate,ROW,EU27,0.313597368440549
1897,Zn,concentrate,ROW,ROW,0.6844576946051295
1897,Zn,refined_metal,CHN,CHN,0.0015980478255724
1897,Zn,refined_metal,CHN,EU27,0.2889118652654983
1897,Zn,refined_metal,CHN,ROW,0.7094900869089292
1897,Zn,refined_metal,EU27,CHN,0.0015980478255724
1897,Zn,refined_metal,EU27,EU27,0.2889118652654983
1897,Zn,refined_metal,EU27,ROW,0.7094900869089293
1897,Zn,refined_metal,ROW,CHN,0.0015980478255724
1897,Zn,refined_metal,ROW,EU27,0.2889118652654983
1897,Zn,refined_metal,ROW,ROW,0.7094900869089292
1897,Zn,scrap,CHN,CHN,0.1840331778212685
1897,Zn,scrap,CHN,EU27,0.5656378354528668
1897,Zn,scrap,CHN,ROW,0.2503289867258645
1897,Zn,scrap,EU27,CHN,0.1840331778212685
1897,Zn,scrap,EU27,EU27,0.5656378354528668
1897,Zn,scrap,EU27,ROW,0.2503289867258645
1897,Zn,scrap,ROW,CHN,0.1840331778212685
1897,Zn,scrap,ROW,EU27,0.5656378354528668
1897,Zn,scrap,ROW,ROW,0.2503289867258645
1898,Ni,concentrate,CHN,CHN,0.0001016227990357
1898,Ni,concentrate,CHN,EU27,0.0040127325551739
1898,Ni,concentrate,CHN,ROW,0.9958856446457902
1898,Ni,concentrate,EU27,CHN,0.0001016227990357
1898,Ni,concentrate,EU27,EU27,0.0040127325551739
1898,Ni,concentrate,EU27,ROW,0.9958856446457902
1898,Ni,concentrate,ROW,CHN,0.0001016227990357
1898,Ni,concentrate,ROW,EU27,0.0040127325551739
1898,Ni,concentrate,ROW,ROW,0.9958856446457904
1898,Ni,refined_metal,CHN,CHN,0.0008460339668365
1898,Ni,refined_metal,CHN,EU27,0.3434938369055783
1898,Ni,refined_metal,CHN,ROW,0.6556601291275852
1898,Ni,refined_metal,EU27,CHN,0.0008460339668365
1898,Ni,refined_metal,EU27,EU27,0.3434938369055783
1898,Ni,refined_metal,EU27,ROW,0.6556601291275853
1898,Ni,refined_metal,ROW,CHN,0.0008460339668365
1898,Ni,refined_metal,ROW,EU27,0.3434938369055783
1898,Ni,refined_metal,ROW,ROW,0.6556601291275852
1898,Ni,scrap,CHN,CHN,0.004844028159137
1898,Ni,scrap,CHN,EU27,0.2911669438888353
1898,Ni,scrap,CHN,ROW,0.7039890279520276
1898,Ni,scrap,EU27,CHN,0.004844028159137
1898,Ni,scrap,EU27,EU27,0.2911669438888353
1898,Ni,scrap,EU27,ROW,0.7039890279520276
1898,Ni,scrap,ROW,CHN,0.004844028159137
1898,Ni,scrap,ROW,EU27,0.2911669438888353
1898,Ni,scrap,ROW,ROW,0.7039890279520276
1898,Sn,concentrate,CHN,CHN,0.0003794512648264
1898,Sn,concentrate,CHN,EU27,0.1265421288248722
1898,Sn,concentrate,CHN,ROW,0.8730784199103012
1898,Sn,concentrate,EU27,CHN,0.0003794512648264
1898,Sn,concentrate,EU27,EU27,0.1265421288248722
1898,Sn,concentrate,EU27,ROW,0.8730784199103012
1898,Sn,concentrate,ROW,CHN,0.0003794512648264
1898,Sn,concentrate,ROW,EU27,0.1265421288248722
1898,Sn,concentrate,ROW,ROW,0.8730784199103013
1898,Sn,refined_metal,CHN,CHN,0.0129616301062314
1898,Sn,refined_metal,CHN,EU27,0.3020388662767663
1898,Sn,refined_metal,CHN,ROW,0.6849995036170022
1898,Sn,refined_metal,EU27,CHN,0.0129616301062314
1898,Sn,refined_metal,EU27,EU27,0.3020388662767664
1898,Sn,refined_metal,EU27,ROW,0.6849995036170022
1898,Sn,refined_metal,ROW,CHN,0.0129616301062314
1898,Sn,refined_metal,ROW,EU27,0.3020388662767663
1898,Sn,refined_metal,ROW,ROW,0.6849995036170022
1898,Sn,scrap,CHN,CHN,0.0079470202985249
1898,Sn,scrap,CHN,EU27,0.6392935978287502
1898,Sn,scrap,CHN,ROW,0.3527593818727248
1898,Sn,scrap,EU27,CHN,0.0079470202985249
1898,Sn,scrap,EU27,EU27,0.6392935978287502
1898,Sn,scrap,EU27,ROW,0.3527593818727249
1898,Sn,scrap,ROW,CHN,0.0079470202985249
1898,Sn,scrap,ROW,EU27,0.6392935978287503
1898,Sn,scrap,ROW,ROW,0.3527593818727249
1898,Zn,concentrate,CHN,CHN,0.0019449369543214
1898,Zn,concentrate,CHN,EU27,0.313597368440549
1898,Zn,concentrate,CHN,ROW,0.6844576946051294
1898,Zn,concentrate,EU27,CHN,0.0019449369543214
1898,Zn,concentrate,EU27,EU27,0.3135973684405491
1898,Zn,concentrate,EU27,ROW,0.6844576946051295
1898,Zn,concentrate,ROW,CHN,0.0019449369543214
1898,Zn,concentrate,ROW,EU27,0.313597368440549
1898,Zn,concentrate,ROW,ROW,0.6844576946051295
1898,Zn,refined_metal,CHN,CHN,0.0015980478255724
1898,Zn,refined_metal,CHN,EU27,0.2889118652654983
1898,Zn,refined_metal,CHN,ROW,0.7094900869089292
1898,Zn,refined_metal,EU27,CHN,0.0015980478255724
1898,Zn,refined_metal,EU27,EU27,0.2889118652654983
1898,Zn,refined_metal,EU27,ROW,0.7094900869089293
1898,Zn,refined_metal,ROW,CHN,0.0015980478255724
1898,Zn,refined_metal,ROW,EU27,0.2889118652654983
1898,Zn,refined_metal,ROW,ROW,0.7094900869089292
1898,Zn,scrap,CHN,CHN,0.1840331778212685
1898,Zn,scrap,CHN,EU27,0.5656378354528668
1898,Zn,scrap,CHN,ROW,0.2503289867258645
1898,Zn,scrap,EU27,CHN,0.1840331778212685
1898,Zn,scrap,EU27,EU27,0.5656378354528668
1898,Zn,scrap,EU27,ROW,0.2503289867258645
1898,Zn,scrap,ROW,CHN,0.1840331778212685
1898,Zn,scrap,ROW,EU27,0.5656378354528668
1898,Zn,scrap,ROW,ROW,0.2503289867258645
1899,Ni,concentrate,CHN,CHN,0.0001016227990357
1899,Ni,concentrate,CHN,EU27,0.0040127325551739
1899,Ni,concentrate,CHN,ROW,0.9958856446457902
1899,Ni,concentrate,EU27,CHN,0.0001016227990357
1899,Ni,concentrate,EU27,EU27,0.0040127325551739
1899,Ni,concentrate,EU27,ROW,0.9958856446457902
1899,Ni,concentrate,ROW,CHN,0.0001016227990357
1899,Ni,concentrate,ROW,EU27,0.0040127325551739
1899,Ni,concentrate,ROW,ROW,0.9958856446457904
1899,Ni,refined_metal,CHN,CHN,0.0008460339668365
1899,Ni,refined_metal,CHN,EU27,0.3434938369055783
1899,Ni,refined_metal,CHN,ROW,0.6556601291275852
1899,Ni,refined_metal,EU27,CHN,0.0008460339668365
1899,Ni,refined_metal,EU27,EU27,0.3434938369055783
1899,Ni,refined_metal,EU27,ROW,0.6556601291275853
1899,Ni,refined_metal,ROW,CHN,0.0008460339668365
1899,Ni,refined_metal,ROW,EU27,0.3434938369055783
1899,Ni,refined_metal,ROW,ROW,0.6556601291275852
1899,Ni,scrap,CHN,CHN,0.004844028159137
1899,Ni,scrap,CHN,EU27,0.2911669438888353
1899,Ni,scrap,CHN,ROW,0.7039890279520276
1899,Ni,scrap,EU27,CHN,0.004844028159137
1899,Ni,scrap,EU27,EU27,0.2911669438888353
1899,Ni,scrap,EU27,ROW,0.7039890279520276
1899,Ni,scrap,ROW,CHN,0.004844028159137
1899,Ni,scrap,ROW,EU27,0.2911669438888353
1899,Ni,scrap,ROW,ROW,0.7039890279520276
1899,Sn,concentrate,CHN,CHN,0.0003794512648264
1899,Sn,concentrate,CHN,EU27,0.1265421288248722
1899,Sn,concentrate,CHN,ROW,0.8730784199103012
1899,Sn,concentrate,EU27,CHN,0.0003794512648264
1899,Sn,concentrate,EU27,EU27,0.1265421288248722
1899,Sn,concentrate,EU27,ROW,0.8730784199103012
1899,Sn,concentrate,ROW,CHN,0.0003794512648264
1899,Sn,concentrate,ROW,EU27,0.1265421288248722
1899,Sn,concentrate,ROW,ROW,0.8730784199103013
1899,Sn,refined_metal,CHN,CHN,0.0129616301062314
1899,Sn,refined_metal,CHN,EU27,0.3020388662767663
1899,Sn,refined_metal,CHN,ROW,0.6849995036170022
1899,Sn,refined_metal,EU27,CHN,0.0129616301062314
1899,Sn,refined_metal,EU27,EU27,0.3020388662767664
1899,Sn,refined_metal,EU27,ROW,0.6849995036170022
1899,Sn,refined_metal,ROW,CHN,0.0129616301062314
1899,Sn,refined_metal,ROW,EU27,0.3020388662767663
1899,Sn,refined_metal,ROW,ROW,0.6849995036170022
1899,Sn,scrap,CHN,CHN,0.0079470202985249
1899,Sn,scrap,CHN,EU27,0.6392935978287502
1899,Sn,scrap,CHN,ROW,0.3527593818727248
1899,Sn,scrap,EU27,CHN,0.0079470202985249
1899,Sn,scrap,EU27,EU27,0.6392935978287502
1899,Sn,scrap,EU27,ROW,0.3527593818727249
1899,Sn,scrap,ROW,CHN,0.0079470202985249
1899,Sn,scrap,ROW,EU27,0.6392935978287503
1899,Sn,scrap,ROW,ROW,0.3527593818727249
1899,Zn,concentrate,CHN,CHN,0.0019449369543214
1899,Zn,concentrate,CHN,EU27,0.313597368440549
1899,Zn,concentrate,CHN,ROW,0.6844576946051294
1899,Zn,concentrate,EU27,CHN,0.0019449369543214
1899,Zn,concentrate,EU27,EU27,0.3135973684405491
1899,Zn,concentrate,EU27,ROW,0.6844576946051295
1899,Zn,concentrate,ROW,CHN,0.0019449369543214
1899,Zn,concentrate,ROW,EU27,0.313597368440549
1899,Zn,concentrate,ROW,ROW,0.6844576946051295
1899,Zn,refined_metal,CHN,CHN,0.0015980478255724
1899,Zn,refined_metal,CHN,EU27,0.2889118652654983
1899,Zn,refined_metal,CHN,ROW,0.7094900869089292
1899,Zn,refined_metal,EU27,CHN,0.0015980478255724
1899,Zn,refined_metal,EU27,EU27,0.2889118652654983
1899,Zn,refined_metal,EU27,ROW,0.7094900869089293
1899,Zn,refined_metal,ROW,CHN,0.0015980478255724
1899,Zn,refined_metal,ROW,EU27,0.2889118652654983
1899,Zn,refined_metal,ROW,ROW,0.7094900869089292
1899,Zn,scrap,CHN,CHN,0.1840331778212685
1899,Zn,scrap,CHN,EU27,0.5656378354528668
1899,Zn,scrap,CHN,ROW,0.2503289867258645
1899,Zn,scrap,EU27,CHN,0.1840331778212685
1899,Zn,scrap,EU27,EU27,0.5656378354528668
1899,Zn,scrap,EU27,ROW,0.2503289867258645
1899,Zn,scrap,ROW,CHN,0.1840331778212685
1899,Zn,scrap,ROW,EU27,0.5656378354528668
1899,Zn,scrap,ROW,ROW,0.2503289867258645
1900,Ni,concentrate,CHN,CHN,0.0001016227990357
1900,Ni,concentrate,CHN,EU27,0.0040127325551739
1900,Ni,concentrate,CHN,ROW,0.9958856446457902
1900,Ni,concentrate,EU27,CHN,0.0001016227990357
1900,Ni,concentrate,EU27,EU27,0.0040127325551739
1900,Ni,concentrate,EU27,ROW,0.9958856446457902
1900,Ni,concentrate,ROW,CHN,0.0001016227990357
1900,Ni,concentrate,ROW,EU27,0.0040127325551739
1900,Ni,concentrate,ROW,ROW,0.9958856446457904
1900,Ni,refined_metal,CHN,CHN,0.0008460339668365
1900,Ni,refined_metal,CHN,EU27,0.3434938369055783
1900,Ni,refined_metal,CHN,ROW,0.6556601291275852
1900,Ni,refined_metal,EU27,CHN,0.0008460339668365
1900,Ni,refined_metal,EU27,EU27,0.3434938369055783
1900,Ni,refined_metal,EU27,ROW,0.6556601291275853
1900,Ni,refined_metal,ROW,CHN,0.0008460339668365
1900,Ni,refined_metal,ROW,EU27,0.3434938369055783
1900,Ni,refined_metal,ROW,ROW,0.6556601291275852
1900,Ni,scrap,CHN,CHN,0.004844028159137
1900,Ni,scrap,CHN,EU27,0.2911669438888353
1900,Ni,scrap,CHN,ROW,0.7039890279520276
1900,Ni,scrap,EU27,CHN,0.004844028159137
1900,Ni,scrap,EU27,EU27,0.2911669438888353
1900,Ni,scrap,EU27,ROW,0.7039890279520276
1900,Ni,scrap,ROW,CHN,0.004844028159137
1900,Ni,scrap,ROW,EU27,0.2911669438888353
1900,Ni,scrap,ROW,ROW,0.7039890279520276
